EXPORTED CROSS SECTION DATA
13 2 2
x coordinate
Hole Conc
0.0000000000e+00 0.0000000000e+00 
0.0000000000e+00 2.3119072500e+17 
1.0000000000e-03 2.3907375000e+17 
2.0000000000e-03 2.5787775200e+17 
3.0000000000e-03 2.9108232700e+17 
4.0000000000e-03 3.4580768800e+17 
5.0000000000e-03 4.3652136100e+17 
6.0000000000e-03 5.9484178300e+17 
7.0000000000e-03 8.9957310800e+17 
8.0000000000e-03 1.5924078700e+18 
9.0000000000e-03 3.7247470100e+18 
1.0000000000e-02 1.6718865300e+19 
1.0000000000e-02 0.0000000000e+00 
