EXPORTED XY-GRAPH DATA
141 2 2
Gate Voltage
Drain Current
1.0000000000e+01 -3.9083980300e-19 
9.5000000000e+00 -3.0984865750e-22 
9.0000000000e+00 -1.1383187750e-24 
8.5000000000e+00 -7.8471883520e-29 
8.0000000000e+00 -3.8058399470e-29 
7.5000000000e+00 -1.6834333430e-29 
7.0000000000e+00 -9.4150239830e-33 
6.5000000000e+00 -3.7486489480e-30 
6.0000000000e+00 -1.0786643480e-27 
5.5000000000e+00 -2.1130592190e-25 
5.0000000000e+00 -2.6171694680e-23 
4.5000000000e+00 -1.8564895180e-21 
4.0000000000e+00 -6.5634717180e-20 
3.5000000000e+00 -9.6940448000e-19 
3.0000000000e+00 -5.7096782820e-18 
2.5000000000e+00 -1.7351832480e-17 
2.0000000000e+00 -3.6695450460e-17 
1.5000000000e+00 -6.3967680290e-17 
1.0000000000e+00 -9.9941352300e-17 
5.0000000000e-01 -1.4639308580e-16 
3.1227274280e-15 -2.0711622060e-16 
-5.0000000000e-01 -2.9172142880e-16 
-1.0000000000e+00 -4.2818979830e-16 
-1.5000000000e+00 -5.9129524410e-16 
-2.0000000000e+00 -7.4543090650e-16 
-2.5000000000e+00 -8.9889592480e-16 
-3.0000000000e+00 -1.0523722290e-15 
-3.5000000000e+00 -1.2058739440e-15 
-4.0000000000e+00 -1.3593981330e-15 
-4.5000000000e+00 -1.5129420860e-15 
-5.0000000000e+00 -1.6665035370e-15 
-5.5000000000e+00 -1.8200805850e-15 
-6.0000000000e+00 -1.9736716270e-15 
-6.5000000000e+00 -2.1272752960e-15 
-7.0000000000e+00 -2.2808904190e-15 
-7.5000000000e+00 -2.4345159810e-15 
-8.0000000000e+00 -2.5881510930e-15 
-8.5000000000e+00 -2.7417949720e-15 
-9.0000000000e+00 -2.8954469230e-15 
-9.5000000000e+00 -3.0491063240e-15 
-1.0000000000e+01 -3.2027726150e-15 
-1.0500000000e+01 -3.3564452900e-15 
-1.1000000000e+01 -3.5101238910e-15 
-1.1500000000e+01 -3.6638079980e-15 
-1.2000000000e+01 -3.8174972260e-15 
-1.2500000000e+01 -3.9711912210e-15 
-1.3000000000e+01 -4.1248896560e-15 
-1.3500000000e+01 -4.2785922270e-15 
-1.4000000000e+01 -4.4322986490e-15 
-1.4500000000e+01 -4.5860086520e-15 
-1.5000000000e+01 -4.7397219810e-15 
-1.5500000000e+01 -4.8934383830e-15 
-1.6000000000e+01 -5.0471576080e-15 
-1.6500000000e+01 -5.2008793880e-15 
-1.7000000000e+01 -5.3546034150e-15 
-1.7500000000e+01 -5.5083292870e-15 
-1.8000000000e+01 -5.6620563750e-15 
-1.8500000000e+01 -5.8157835030e-15 
-1.9000000000e+01 -5.9695080110e-15 
-1.9500000000e+01 -6.1232226820e-15 
-2.0000000000e+01 -6.2769033110e-15 
-2.0500000000e+01 -6.4304395580e-15 
-2.1000000000e+01 -6.5830734420e-15 
-2.1500000000e+01 -6.7380678170e-15 
-2.2000000000e+01 -6.8918555760e-15 
-2.2500000000e+01 -7.0447011530e-15 
-2.3000000000e+01 -7.1976504110e-15 
-2.3500000000e+01 -7.3502574210e-15 
-2.4000000000e+01 -7.5024270100e-15 
-2.4500000000e+01 -7.6540561130e-15 
-2.5000000000e+01 -7.8050452050e-15 
-2.5500000000e+01 -7.9553163440e-15 
-2.6000000000e+01 -8.1048224730e-15 
-2.6500000000e+01 -8.2535442420e-15 
-2.7000000000e+01 -8.4014814160e-15 
-2.7500000000e+01 -8.5486450600e-15 
-2.8000000000e+01 -8.6950522390e-15 
-2.8500000000e+01 -8.8407228350e-15 
-2.9000000000e+01 -8.9856777420e-15 
